dataset,ncdm_best_epoch,ncdm_test_auc,ncdm_test_acc,ncdm_test_f1,ncdm_test_rmse,mfcd_best_epoch,mfcd_test_auc,mfcd_test_acc,mfcd_test_f1,mfcd_test_rmse,delta_auc,delta_acc,delta_f1,delta_rmse
math1,6,0.8036339595152138,0.7182395913761359,0.7005050505050505,0.42936149714753513,4,0.809697803138661,0.7254261448001426,0.7277224807114671,0.42169687254652627,0.0060638436234472515,0.0071865534240066475,0.027217430206416537,-0.0076646246010088626
math2,5,0.7860940391666202,0.710322786832854,0.7162534435261708,0.43637135222392914,5,0.7919107050852512,0.7153723234260148,0.7340063317603488,0.43108689706795433,0.005816665918630948,0.005049536593160764,0.017752888234177977,-0.00528445515597481
frcsub,19,0.7505588557990306,0.6823694029850746,0.7302970297029703,0.4503527219229498,19,0.8769953359473008,0.808768656716418,0.8226643598615917,0.3760355519178878,0.12643648014827025,0.1263992537313433,0.09236733015862142,-0.074317170005062
assist17,2,0.875067435987134,0.8473618814607965,0.9084834800239621,0.3195463181652582,2,0.8902665609459101,0.8629638643729104,0.9177190850497623,0.30745748582661037,0.015199124958776067,0.015601982912113899,0.009235605025800231,-0.012088832338647826
assist09,7,0.7588895789966227,0.7341821853264527,0.8094312561157058,0.42770685255435686,4,0.7711045343768707,0.7394734873981004,0.8154437086092715,0.41964039794583935,0.012214955380247972,0.00529130207164763,0.006012452493565745,-0.008066454608517515
junyi,4,0.7987890813595002,0.7908276636199115,0.8680662919562485,0.38038856554365064,3,0.8130033586091535,0.8018692873342038,0.875164181689592,0.37253945477722894,0.014214277249653295,0.011041623714292292,0.007097889733343465,-0.007849110766421696
